uths,caladan,caladan-simdreg,caladan-simdreg-custom,native
1,0.232988,0.232848,0.233289,0.16632
2,0.26885,0.282844,0.273606,0.16632
4,0.280986,0.293487,0.28358,0.16632
6,0.326135,0.367024,0.341551,0.16632
8,0.369683,0.400114,0.374732,0.16632
10,0.368887,0.407358,0.377175,0.16632
12,0.371703,0.407808,0.377673,0.16632
16,0.371383,0.407589,0.378169,0.16632
20,0.368115,0.406143,0.376447,0.16632
24,0.36742,0.406139,0.376033,0.16632
28,0.368162,0.405203,0.376667,0.16632
32,0.367677,0.405159,0.376338,0.16632
40,0.376815,0.414483,0.386124,0.16632
48,0.380237,0.416926,0.385875,0.16632
56,0.378926,0.414672,0.386492,0.16632
64,0.376194,0.416601,0.38609,0.16632
