uths,caladan,caladan-simdreg,caladan-simdreg-custom,native
1,0.375976,0.378688,0.376015,0.320685
2,0.456498,0.505434,0.462527,0.320685
4,0.649065,0.691537,0.660476,0.320685
6,0.665502,0.713035,0.674316,0.320685
8,0.666136,0.709078,0.678408,0.320685
10,0.66934,0.712754,0.675093,0.320685
12,0.667545,0.710214,0.674912,0.320685
16,0.666744,0.709696,0.674349,0.320685
20,0.661532,0.703737,0.671768,0.320685
24,0.682423,0.704826,0.671271,0.320685
28,0.661729,0.704402,0.671775,0.320685
32,0.660135,0.703375,0.671374,0.320685
40,0.670746,0.71018,0.681955,0.320685
48,0.670466,0.711432,0.681416,0.320685
56,0.670822,0.711405,0.701797,0.320685
64,0.670267,0.711507,0.702738,0.320685
