uths,caladan,caladan-simdreg,caladan-simdreg-custom,native
1,5.27537,5.27837,5.27541,5.0047
2,5.28089,5.29854,5.28357,5.0047
4,5.30016,5.33531,5.30398,5.0047
6,5.56558,5.86808,5.75144,5.0047
8,5.95788,5.99884,5.95884,5.0047
10,5.98667,6.00528,6.0037,5.0047
12,5.98872,6.00475,6.00452,5.0047
16,6.00417,6.0048,6.00243,5.0047
20,6.00496,6.00733,6.0051,5.0047
24,6.00559,6.00538,6.00574,5.0047
28,6.00564,6.006,6.00596,5.0047
32,5.98161,6.007,6.00496,5.0047
40,6.00648,6.01224,6.0067,5.0047
48,6.00648,6.01677,6.00694,5.0047
56,6.00667,6.01487,6.00704,5.0047
64,6.00997,6.02023,6.00758,5.0047
